Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
55000 - Public Health and Welfare,FY06,55751,Recycling Center,511,Vehicle And Equipment Insurance,"8,810.00",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,513,Workman's Compensation Insurance,"4,450.00",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,733,Solid Waste Equipment,"1,722.00",,fund116FY06.pdf,1
55000 - Public Health and Welfare,FY06,55751,Recycling Center,,,,"248,113.93",fund116FY06.pdf,1
,FY06,,Fund 116 Total,,,,"248,113.93",fund116FY06.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,101,County Official/Administrative Officer,"11,815.68",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,103,Assistant(s),"2,400.00",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,149,Laborers,"89,010.40",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,186,Longevity Pay,"2,000.00",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,189,Other Salaries & Wages,"2,723.56",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,201,Social Security,"7,664.60",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,207,Medical Insurance,"31,468.92",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,210,Unemployment Compensation,233.62,,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,211,Advertising,0,,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,302,Local Retirement,246.38,,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,307,Communication,"1,336.08",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,312,Contracts With Private Agencies,"71,272.37",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"29,131.53",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,348,Postal Charges,83.82,,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,399,Other Contracted Services,"8,419.50",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,412,Diesel Fuel,"19,066.03",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,435,Office Supplies,38.21,,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,450,Tires And Tubes,"3,535.84",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,452,Utilities,"1,031.82",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,510,Trustee's Commission,"3,476.24",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,511,Vehicle And Equipment Insurance,"9,753.00",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,513,Workman's Compensation Insurance,"4,285.00",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,718,Motor Vehicles,"123,975.00",,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,733,Solid Waste Equipment,647.33,,fund116FY07.pdf,1
55000 - Public Health and Welfare,FY07,55751,Recycling Center,,,,"423,614.93",fund116FY07.pdf,1
,FY07,,Fund 116 Total,,,,"423,614.93",fund116FY07.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,101,County Official/Administrative Officer,"2,500.08",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,149,Laborers,"9,805.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,189,Other Salaries & Wages,0,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,201,Social Security,938.73,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,210,Unemployment Compensation,35.44,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,338,Maintenance And Repair Services-Vehicle,341.11,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,425,Gasoline,899.62,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,429,Instructional Supplies,"6,655.30",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,499,Other Supplies And Materials,442.6,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,718,Motor Vehicles,"3,217.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55731,Waste Pickup,,,,"24,834.88",fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,101,County Official/Administrative Officer,"12,171.36",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,103,Assistant(s),"2,544.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,149,Laborers,"89,002.80",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,186,Longevity Pay,"3,000.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,187,Overtime Pay,11.5,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,189,Other Salaries & Wages,"3,573.98",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,201,Social Security,"7,782.58",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,207,Medical Insurance,"30,685.71",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,210,Unemployment Compensation,133.52,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,211,Local Retirement,540.69,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,302,Advertising,73.28,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,307,Communication,"1,302.59",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,312,Contracts With Private Agencies,"67,572.65",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"27,255.11",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,348,Postal Charges,82,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,399,Other Contracted Services,"12,208.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,412,Diesel Fuel,"31,025.36",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,435,Office Supplies,77.5,,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,450,Tires And Tubes,"4,711.03",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,452,Utilities,"1,043.65",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,510,Trustee's Commission,"4,294.28",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,511,Vehicle And Equipment Insurance,"10,174.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,513,Workman's Compensation Insurance,"4,407.00",,fund116FY08.pdf,1
55000 - Public Health and Welfare,FY08,55751,Recycling Center,733,Solid Waste Equipment,"3,388.42",,fund116FY08.pdf,2
55000 - Public Health and Welfare,FY08,55751,Recycling Center,,,,"317,061.01",fund116FY08.pdf,2
58000 - Other Operations,FY08,58600,Employee Benefits,211,Local Retirement,0,,fund116FY08.pdf,2
58000 - Other Operations,FY08,58600,Employee Benefits,,,,0,fund116FY08.pdf,2
,FY08,,Fund 116 Total,,,,"341,895.89",fund116FY08.pdf,2
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,101,County Official/Administrative Officer,"2,700.00",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,149,Laborers,"14,250.00",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,201,Social Security,"1,293.67",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,210,Unemployment Compensation,49.32,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,338,Maintenance And Repair Services-Vehicle,0,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,425,Gasoline,850.96,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,429,Instructional Supplies,"5,245.86",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,499,Other Supplies And Materials,371.58,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,718,Motor Vehicles,0,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55731,Waste Pickup,,,,"24,761.39",fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,101,County Official/Administrative Officer,"12,541.64",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,103,Assistant(s),"2,620.32",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,149,Laborers,"90,822.19",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,186,Longevity Pay,"4,000.00",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,187,Overtime Pay,0,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,189,Other Salaries & Wages,"3,844.96",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,201,Social Security,"8,730.82",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,207,Medical Insurance,"29,252.04",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,210,Unemployment Compensation,223.45,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,211,Local Retirement,500.81,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,302,Advertising,293.28,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,307,Communication,924.82,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,312,Contracts With Private Agencies,"80,986.12",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"23,452.65",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,348,Postal Charges,84,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,399,Other Contracted Services,"14,167.50",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,412,Diesel Fuel,"23,260.64",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,435,Office Supplies,81.4,,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,450,Tires And Tubes,"4,712.17",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,452,Utilities,"1,047.84",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,510,Trustee's Commission,"5,392.26",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,511,Vehicle And Equipment Insurance,"10,381.00",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,513,Workman's Compensation Insurance,"3,890.00",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,718,Motor Vehicles,"62,517.50",,fund116FY09.pdf,1
55000 - Public Health and Welfare,FY09,55751,Recycling Center,733,Solid Waste Equipment,"2,774.52",,fund116FY09.pdf,2
55000 - Public Health and Welfare,FY09,55751,Recycling Center,,,,"386,501.93",fund116FY09.pdf,2
,FY09,,Fund 116 Total,,,,"411,263.32",fund116FY09.pdf,2
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,101,County Official/Administrative Officer,"2,599.94",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,149,Laborers,"11,225.00",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,201,Social Security,"1,010.16",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,210,Unemployment Compensation,34.63,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,338,Maintenance And Repair Services-Vehicle,"1,795.70",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,425,Gasoline,"1,059.70",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,429,Instructional Supplies,"5,740.61",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,499,Other Supplies And Materials,604.59,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,718,Motor Vehicles,0,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55731,Waste Pickup,,,,"24,070.33",fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,101,County Official/Administrative Officer,"2,185.60",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,103,Assistant(s),"2,658.96",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,149,Laborers,"95,809.82",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,169,Part-Time Personnel,600,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,186,Longevity Pay,"4,000.00",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,187,Overtime Pay,0,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,189,Other Salaries & Wages,"3,494.55",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,201,Social Security,"7,656.75",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,207,Medical Insurance,"40,066.06",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,210,Unemployment Compensation,314.32,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,211,Local Retirement,498.44,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,302,Advertising,0,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,307,Communication,535.39,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,312,Contracts With Private Agencies,"82,004.35",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,335,Maintenance And Repair Services-Buildir,780.27,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"22,705.44",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,348,Postal Charges,37.84,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,399,Other Contracted Services,"11,975.00",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,412,Diesel Fuel,"24,954.09",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,435,Office Supplies,43.49,,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,450,Tires And Tubes,"4,624.11",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,452,Utilities,"1,299.74",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,510,Trustee's Commission,"5,412.82",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,511,Vehicle And Equipment Insurance,"10,336.06",,fund116FY10.pdf,1
55000 - Public Health and Welfare,FY10,55751,Recycling Center,513,Workman's Compensation Insurance,"3,899.42",,fund116FY10.pdf,2
55000 - Public Health and Welfare,FY10,55751,Recycling Center,718,Motor Vehicles,"12,667.50",,fund116FY10.pdf,2
55000 - Public Health and Welfare,FY10,55751,Recycling Center,733,Solid Waste Equipment,"2,887.49",,fund116FY10.pdf,2
55000 - Public Health and Welfare,FY10,55751,Recycling Center,,,,"341,447.51",fund116FY10.pdf,2
,FY10,,Fund 116 Total,,,,"365,517.84",fund116FY10.pdf,2
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,101,County Official/Administrative Officer,"2,700.05",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,149,Laborers,"11,312.18",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,201,Social Security,"1,031.63",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,210,Unemployment Compensation,45.41,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,338,Maintenance And Repair Services-Vehicle,85.96,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,425,Gasoline,990.72,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,429,Instructional Supplies,"4,629.79",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,499,Other Supplies And Materials,264.25,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,790,Other Equipment,0,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55731,Waste Pickup,,,,"21,059.99",fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,103,Assistant(s),"2,699.00",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,149,Laborers,"94,054.84",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,169,Part-Time Personnel,"7,387.17",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,186,Longevity Pay,"4,000.00",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,187,Overtime Pay,0,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,189,Other Salaries & Wages,"3,842.50",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,201,Social Security,"8,891.83",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,207,Medical Insurance,"33,851.76",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,210,Unemployment Compensation,189.48,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,211,Local Retirement,564.32,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,302,Advertising,101,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,307,Communication,838.98,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,312,Contracts With Private Agencies,"93,699.35",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,335,Maintenance And Repair Services-Buildir,106.85,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"16,609.56",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,348,Postal Charges,0,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,399,Other Contracted Services,"14,954.70",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,412,Diesel Fuel,"25,682.76",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,435,Office Supplies,191.16,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,450,Tires And Tubes,"2,705.99",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,452,Utilities,"1,387.39",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,499,Other Supplies And Materials,60,,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,510,Trustee's Commission,"5,891.02",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,511,Vehicle And Equipment Insurance,"10,365.00",,fund116FY11.pdf,1
55000 - Public Health and Welfare,FY11,55751,Recycling Center,513,Workman's Compensation Insurance,"4,654.00",,fund116FY11.pdf,2
55000 - Public Health and Welfare,FY11,55751,Recycling Center,718,Motor Vehicles,"22,582.20",,fund116FY11.pdf,2
55000 - Public Health and Welfare,FY11,55751,Recycling Center,733,Solid Waste Equipment,"3,514.64",,fund116FY11.pdf,2
55000 - Public Health and Welfare,FY11,55751,Recycling Center,,,,"358,825.50",fund116FY11.pdf,2
,FY11,,Fund 116 Total,,,,"379,885.49",fund116FY11.pdf,2
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,101,County Official/Administrative Officer,"2,723.25",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,149,Laborers,"17,013.75",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,201,Social Security,"1,480.69",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,210,Unemployment Compensation,62.33,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,338,Maintenance And Repair Services-Vehicle,34.99,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,425,Gasoline,"1,343.81",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,429,Instructional Supplies,"6,591.89",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,499,Other Supplies And Materials,301.32,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,718,Motor Vehicles,"3,517.50",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,790,Other Equipment,0,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55731,Waste Pickup,,,,"33,069.53",fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,103,Assistant(s),"2,738.88",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,149,Laborers,"94,520.65",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,169,Part-Time Personnel,548,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,186,Longevity Pay,"6,000.00",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,187,Overtime Pay,0,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,189,Other Salaries & Wages,"6,947.50",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,201,Social Security,"8,110.76",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,207,Medical Insurance,"39,356.92",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,210,Unemployment Compensation,173.39,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,211,Local Retirement,520.17,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,302,Advertising,0,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,307,Communication,410.08,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,312,Contracts With Private Agencies,"79,685.04",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,335,Maintenance And Repair Services-Buildir,110.5,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,338,Maintenance And Repair Services-Vehicle,"16,428.93",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,348,Postal Charges,0,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,399,Other Contracted Services,"13,132.95",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,412,Diesel Fuel,"27,488.00",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,435,Office Supplies,75.74,,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,450,Tires And Tubes,"4,953.93",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,452,Utilities,"1,227.46",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,510,Trustee's Commission,"5,659.54",,fund116FY12.pdf,1
55000 - Public Health and Welfare,FY12,55751,Recycling Center,511,Vehicle And Equipment Insurance,"7,624.00",,fund116FY12.pdf,1
