Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,YTD Expenditure (Line Item),Department Total YTD,PDF File,PDF Page
72000 Support Services,FY05,72320,Director Of Schools,599,Other Charges,"7,613.74",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,701,Administration Equipment,"6,787.00",,fund141FY05.pdf,21
72000 Support Services,FY05,72320,Director Of Schools,,Department Total,,"117,124.79",fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,104,Principals,"112,643.12",,fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,117,Career Ladder Program,"4,000.32",,fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,139,Assistant Principals,"140,315.78",,fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,161,Secretary(s),"54,749.97",,fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,162,Clerical Personnel,"19,280.28",,fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,201,Social Security,"20,029.07",,fund141FY05.pdf,21
72000 Support Services,FY05,72410,Office Of The Principal,204,State Retirement,"15,615.89",,fund141FY05.pdf,22
72000 Support Services,FY05,72410,Office Of The Principal,207,Medical Insurance,"30,439.80",,fund141FY05.pdf,22
72000 Support Services,FY05,72410,Office Of The Principal,210,Unemployment Compensation,167.63,,fund141FY05.pdf,22
72000 Support Services,FY05,72410,Office Of The Principal,212,Employer Medicare,"4,684.24",,fund141FY05.pdf,22
72000 Support Services,FY05,72410,Office Of The Principal,307,Communication,773.72,,fund141FY05.pdf,22
72000 Support Services,FY05,72410,Office Of The Principal,599,Other Charges,"3,424.28",,fund141FY05.pdf,22
72000 Support Services,FY05,72410,Office Of The Principal,,Department Total,,"406,124.10",fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,105,Supervisor/Director,"32,722.08",,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,119,Accountants/Bookkeepers,"26,693.12",,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,201,Social Security,"3,587.42",,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,204,State Retirement,"1,259.60",,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,207,Medical Insurance,"3,621.52",,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,210,Unemployment Compensation,34.98,,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,212,Employer Medicare,838.99,,fund141FY05.pdf,22
72000 Support Services,FY05,72510,Fiscal Services,,Department Total,,"68,757.71",fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,166,Custodial Personnel,"237,748.10",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,201,Social Security,"14,105.70",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,204,State Retirement,"3,915.33",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,207,Medical Insurance,"34,500.93",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,210,Unemployment Compensation,245.54,,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,212,Employer Medicare,"3,298.90",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,415,Electricity,"178,853.75",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,434,Natural Gas,"49,796.15",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,454,Water And Sewer,"39,812.70",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,499,Other Supplies And Materials,"36,889.10",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,502,Building And Contents Insurance,"34,470.00",,fund141FY05.pdf,22
72000 Support Services,FY05,72610,Operation Of Plant,,Department Total,,"633,636.20",fund141FY05.pdf,22
72000 Support Services,FY05,72620,Maintenance Of Plant,335,Maintenance And Repair Services-Buildir,"5,677.61",,fund141FY05.pdf,22
72000 Support Services,FY05,72620,Maintenance Of Plant,336,Maintenance And Repair Services-Equipr,"17,811.10",,fund141FY05.pdf,22
72000 Support Services,FY05,72620,Maintenance Of Plant,399,Other Contracted Services,"4,120.00",,fund141FY05.pdf,22
72000 Support Services,FY05,72620,Maintenance Of Plant,499,Other Supplies And Materials,"37,717.48",,fund141FY05.pdf,23
72000 Support Services,FY05,72620,Maintenance Of Plant,599,Other Charges,"8,235.60",,fund141FY05.pdf,23
72000 Support Services,FY05,72620,Maintenance Of Plant,717,Maintenance Equipment,"3,079.00",,fund141FY05.pdf,23
72000 Support Services,FY05,72620,Maintenance Of Plant,,Department Total,,"76,640.79",fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,142,Mechanic(s),"36,733.00",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,146,Bus Drivers,"158,719.70",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,201,Social Security,"12,026.28",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,204,State Retirement,"3,948.75",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,207,Medical Insurance,"3,701.93",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,210,Unemployment Compensation,266.29,,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,212,Employer Medicare,"2,812.61",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,307,Communication,0,,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,340,Medical And Dental Services,"1,438.74",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,425,Gasoline,"31,240.67",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,450,Tires And Tubes,"4,439.15",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,453,Vehicle Parts,"22,492.46",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,499,Other Supplies And Materials,275.17,,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,511,Vehicle And Equipment Insurance,"10,089.00",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,599,Other Charges,"2,068.95",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,729,Transportation Equipment,"55,221.00",,fund141FY05.pdf,23
72000 Support Services,FY05,72710,Transportation,,Department Total,,"345,473.70",fund141FY05.pdf,23
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,189,Other Salaries & Wages,"24,582.13",,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,201,Social Security,"1,433.01",,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,204,State Retirement,343.78,,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,207,Medical Insurance,"5,031.66",,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,210,Unemployment Compensation,28.51,,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,212,Employer Medicare,335.14,,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,355,Travel,0,,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,499,Other Supplies And Materials,"5,428.13",,fund141FY05.pdf,24
73000 Operation Of Non-Instructional Services,FY05,73300,Community Services,,Department Total,,"37,182.36",fund141FY05.pdf,24
76000 Capital Outlay,FY05,76100,Regular Capital Outlay,707,Building Improvements,"182,120.19",,fund141FY05.pdf,25
76000 Capital Outlay,FY05,76100,Regular Capital Outlay,,Department Total,,"182,120.19",fund141FY05.pdf,25
71000 Instruction,FY06,71100,Regular Instruction Program,116,Teachers,"2,028,646.05",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,117,Career Ladder Program,"34,952.03",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,127,Career Ladder Extended Contracts,"29,319.20",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,163,Educational Assistants,"85,936.12",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,189,Other Salaries & Wages,"2,261.68",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,195,Certified Substitute Teachers,"1,125.00",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,198,Non-Certified Substitute Teachers,"38,697.50",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,201,Social Security,"132,082.14",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,204,State Retirement,"116,909.34",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,207,Medical Insurance,"326,913.38",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,210,Unemployment Compensation,"1,423.57",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,212,Employer Medicare,"30,889.99",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,336,Maintenance And Repair Services-Equipr,913,,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,429,Instructional Supplies And Materials,"40,415.65",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,449,Textbooks,"82,216.39",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,499,Other Supplies And Materials,849.45,,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,599,Other Charges,"3,896.50",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,722,Regular Instruction Equipment,"26,821.48",,fund141FY06.pdf,18
71000 Instruction,FY06,71100,Regular Instruction Program,,Department Total,,"2,984,268.47",fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,116,Teachers,"43,390.08",,fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,163,Educational Assistants,"13,689.00",,fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,201,Social Security,"3,538.90",,fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,204,State Retirement,"2,676.76",,fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,210,Unemployment Compensation,43.37,,fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,212,Employer Medicare,827.66,,fund141FY06.pdf,18
71000 Instruction,FY06,71150,Alternative Instruction Program,,Department Total,,"64,165.77",fund141FY06.pdf,18
71000 Instruction,FY06,71200,Special Education Program,116,Teachers,"212,753.06",,fund141FY06.pdf,18
71000 Instruction,FY06,71200,Special Education Program,117,Career Ladder Program,"5,000.08",,fund141FY06.pdf,18
71000 Instruction,FY06,71200,Special Education Program,128,Homebound Teachers,"2,766.20",,fund141FY06.pdf,18
71000 Instruction,FY06,71200,Special Education Program,163,Educational Assistants,"54,907.16",,fund141FY06.pdf,18
71000 Instruction,FY06,71200,Special Education Program,201,Social Security,"16,127.00",,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,204,State Retirement,"13,272.88",,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,207,Medical Insurance,"53,507.17",,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,210,Unemployment Compensation,212.74,,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,212,Employer Medicare,"3,771.66",,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,312,Contracts With Private Agencies,435,,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,429,Instructional Supplies And Materials,551.59,,fund141FY06.pdf,19
71000 Instruction,FY06,71200,Special Education Program,,Department Total,,"363,304.54",fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,116,Teachers,"173,354.88",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,117,Career Ladder Program,"2,000.16",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,201,Social Security,"10,444.40",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,204,State Retirement,"9,644.29",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,207,Medical Insurance,"23,385.40",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,210,Unemployment Compensation,86.3,,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,212,Employer Medicare,"2,442.64",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,336,Maintenance And Repair Services-Equipr,0,,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,429,Instructional Supplies And Materials,"1,992.92",,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,499,Other Supplies And Materials,0,,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,599,Other Charges,442.38,,fund141FY06.pdf,19
71000 Instruction,FY06,71300,Vocational Education Program,,Department Total,,"223,793.37",fund141FY06.pdf,19
72000 Support Services,FY06,72110,Attendance,105,Supervisor/Director,"5,399.52",,fund141FY06.pdf,20
72000 Support Services,FY06,72110,Attendance,201,Social Security,318.61,,fund141FY06.pdf,20
72000 Support Services,FY06,72110,Attendance,204,State Retirement,296.88,,fund141FY06.pdf,20
72000 Support Services,FY06,72110,Attendance,207,Medical Insurance,915.9,,fund141FY06.pdf,20
