Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
52000 - Finance,FY05,52300,Property Assessor's Office,169,Part-Time Personnel,"9,000.08",,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,196,In-Service Training,0,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,199,Other Per Diem & Fees,170,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,307,Communication,361.49,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,317,Data Processing Services,"2,946.74",,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,332,"Legal Notices, Recording And Court Cost",35.68,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,337,Maintenance And Repair Services-Office,0,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,348,Postal Charges,199.8,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,349,"Printing, Stationery And Forms",0,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,355,Travel,696.55,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,399,Other Contracted Services,"4,042.00",,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,508,Premiums On Corporate Surety Bonds,266.25,,FY05.pdf,4
52000 - Finance,FY05,52300,Property Assessor's Office,,,,"60,187.55",FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,101,County Official/Administrative Officer,"42,468.96",,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,169,Part-Time Personnel,"1,291.50",,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,196,In-Service Training,614.94,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,307,Communication,686.72,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,317,Data Processing Services,"3,953.00",,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,320,Dues And Memberships,85,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,332,"Legal Notices, Recording And Court Cost",281.64,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,348,Postal Charges,"1,129.00",,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,349,"Printing, Stationery And Forms",484.48,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,355,Travel,335.86,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,719,Office Equipment,0,,FY05.pdf,4
52000 - Finance,FY05,52400,County Trustee's Office,,,,"51,331.10",FY05.pdf,4
52000 - Finance,FY05,52500,County Clerk's Office,101,County Official/Administrative Officer,"42,468.96",,FY05.pdf,4
52000 - Finance,FY05,52500,County Clerk's Office,169,Part-Time Personnel,"6,440.02",,FY05.pdf,4
52000 - Finance,FY05,52500,County Clerk's Office,188,Bonus Payments,0,,FY05.pdf,4
52000 - Finance,FY05,52500,County Clerk's Office,307,Communication,396.3,,FY05.pdf,4
52000 - Finance,FY05,52500,County Clerk's Office,320,Dues And Memberships,252.5,,FY05.pdf,4
52000 - Finance,FY05,52500,County Clerk's Office,337,Maintenance And Repair Services-Office,0,,FY05.pdf,5
52000 - Finance,FY05,52500,County Clerk's Office,348,Postal Charges,698.95,,FY05.pdf,5
52000 - Finance,FY05,52500,County Clerk's Office,349,"Printing, Stationery And Forms",601.87,,FY05.pdf,5
52000 - Finance,FY05,52500,County Clerk's Office,355,Travel,128.52,,FY05.pdf,5
52000 - Finance,FY05,52500,County Clerk's Office,719,Office Equipment,127.82,,FY05.pdf,5
52000 - Finance,FY05,52500,County Clerk's Office,,,,"51,114.94",FY05.pdf,5
53000 - Administration of Justice,FY05,53100,Circuit Court,101,County Official/Administrative Officer,"42,468.96",,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,169,Part-Time Personnel,"5,181.98",,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,194,Jury And Witness Expense,"1,405.00",,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,307,Communication,376.75,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,317,Data Processing Services,"3,079.30",,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,320,Dues And Memberships,275,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,332,"Legal Notices, Recording And Court Cost",33.12,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,337,Maintenance And Repair Services-Office,0,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,348,Postal Charges,513,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,349,"Printing, Stationery And Forms",241.23,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,355,Travel,0,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,399,Other Contracted Services,94.19,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,719,Office Equipment,172.5,,FY05.pdf,6
53000 - Administration of Justice,FY05,53100,Circuit Court,,,,"53,841.03",FY05.pdf,6
53000 - Administration of Justice,FY05,53300,General Sessions Court,102,Judge(s),"38,494.72",,FY05.pdf,6
53000 - Administration of Justice,FY05,53300,General Sessions Court,355,Travel,700,,FY05.pdf,6
53000 - Administration of Justice,FY05,53300,General Sessions Court,435,Office Supplies,"1,144.50",,FY05.pdf,6
53000 - Administration of Justice,FY05,53300,General Sessions Court,719,Office Equipment,684.95,,FY05.pdf,6
53000 - Administration of Justice,FY05,53300,General Sessions Court,,,,"41,024.17",FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,101,County Official/Administrative Officer,"42,468.96",,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,169,Part-Time Personnel,"1,416.00",,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,194,Jury And Witness Expense,0,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,307,Communication,340.3,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,320,Dues And Memberships,60,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,348,Postal Charges,382.46,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,349,"Printing, Stationery And Forms",448.38,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,355,Travel,186.56,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,437,Periodicals,455.69,,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,719,Office Equipment,"1,665.00",,FY05.pdf,6
53000 - Administration of Justice,FY05,53400,Chancery Court,,,,"47,423.35",FY05.pdf,6
53000 - Administration of Justice,FY05,53500,Juvenile Court,105,Supervisor/Director,"8,685.36",,FY05.pdf,7
53000 - Administration of Justice,FY05,53500,Juvenile Court,,,,"8,685.36",FY05.pdf,7
53000 - Administration of Justice,FY05,53700,Judicial Commissioners,101,County Official/Administrative Officer,"5,542.69",,FY05.pdf,7
53000 - Administration of Justice,FY05,53700,Judicial Commissioners,307,Communication,353.74,,FY05.pdf,7
53000 - Administration of Justice,FY05,53700,Judicial Commissioners,,,,"5,896.43",FY05.pdf,7
54000 - Public Safety,FY05,54110,Sheriff's Department,101,County Official/Administrative Officer,"46,714.90",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,105,Supervisor/Director,"32,370.00",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,106,Deputy(Ies),"197,633.62",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,115,Sergeant(s),"30,954.51",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,141,Foremen,"23,361.33",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,148,Dispatchers/Radio Operators,"105,289.06",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,187,Overtime Pay,"1,639.38",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,189,Other Salaries & Wages,"16,837.60",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,196,In-Service Training,"7,897.90",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,307,Communication,"7,034.48",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,312,Contracts With Private Agencies,"1,688.22",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,320,Dues And Memberships,930,,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,336,Maintenance And Repair Services-Equipr,"1,183.82",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,338,Maintenance And Repair Services-Vehicle,"10,504.76",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,340,Medical And Dental Services,0,,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,348,Postal Charges,677.9,,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,349,"Printing, Stationery And Forms","2,410.29",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,354,Transportation-Other Than Students,0,,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,355,Travel,"1,474.48",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,399,Other Contracted Services,0,,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,413,Drugs And Medical Supplies,820.9,,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,425,Gasoline,"19,998.02",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,435,Office Supplies,"1,426.50",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,451,Uniforms,"1,734.79",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,599,Other Charges,"67,582.35",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,709,Data Processing Equipment,"1,912.00",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,716,Law Enforcement Equipment,"21,185.52",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,718,Motor Vehicles,"5,200.00",,FY05.pdf,8
54000 - Public Safety,FY05,54110,Sheriff's Department,,,,"608,462.33",FY05.pdf,8
54000 - Public Safety,FY05,54120,Special Patrols,106,Deputy(Ies),0,,FY05.pdf,8
54000 - Public Safety,FY05,54120,Special Patrols,,,,0,FY05.pdf,8
54000 - Public Safety,FY05,54210,Jail,160,Guards,"84,491.89",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,161,Secretary(s),"19,947.01",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,187,Overtime Pay,0,,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,189,Other Salaries & Wages,0,,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,309,Contracts With Government Agencies,805,,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,335,Maintenance And Repair Services-Buildir,"1,792.87",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,336,Maintenance And Repair Services-Equipr,"2,125.93",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,340,Medical And Dental Services,"17,766.28",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,347,Pest Control,240,,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,410,Custodial Supplies,"1,649.67",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,413,Drugs And Medical Supplies,"3,462.36",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,415,Electricity,"10,986.57",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,421,Food Preparation Supplies,365.34,,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,422,Food Supplies,"18,498.51",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,434,Natural Gas,"3,465.51",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,441,Prisoners Clothing,636.6,,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,451,Uniforms,"1,503.73",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,454,Water And Sewer,"8,732.02",,FY05.pdf,9
54000 - Public Safety,FY05,54210,Jail,,,,"176,469.29",FY05.pdf,9
54000 - Public Safety,FY05,54220,Workhouse,160,Guards,0,,FY05.pdf,9
54000 - Public Safety,FY05,54220,Workhouse,189,Other Salaries & Wages,0,,FY05.pdf,9
54000 - Public Safety,FY05,54220,Workhouse,,,,0,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,169,Part-Time Personnel,"10,299.92",,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,196,In-Service Training,"1,606.00",,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,307,Communication,"1,220.47",,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,334,Maintenance Agreements,"1,899.76",,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,335,Maintenance And Repair Services-Buildir,479.56,,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,338,Maintenance And Repair Services-Vehicle,"10,265.82",,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,340,Medical And Dental Services,0,,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,347,Pest Control,240,,FY05.pdf,9
54000 - Public Safety,FY05,54310,Fire Prevention And Control,351,Rentals,182.04,,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,415,Electricity,"2,147.31",,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,425,Gasoline,"1,720.13",,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,434,Natural Gas,"3,240.84",,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,435,Office Supplies,97.26,,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,454,Water And Sewer,847.62,,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,503,Excess Risk Insurance,"1,446.00",,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,718,Motor Vehicles,"135,000.00",,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,790,Other Equipment,"36,902.30",,FY05.pdf,10
54000 - Public Safety,FY05,54310,Fire Prevention And Control,,,,"207,595.03",FY05.pdf,10
54000 - Public Safety,FY05,54490,Other Emergency Management,719,Office Equipment,"8,975.44",,FY05.pdf,10
54000 - Public Safety,FY05,54490,Other Emergency Management,,,,"8,975.44",FY05.pdf,10
54000 - Public Safety,FY05,54610,County Coroner/Medical Examiner,101,County Official/Administrative Officer,0,,FY05.pdf,10
54000 - Public Safety,FY05,54610,County Coroner/Medical Examiner,,,,0,FY05.pdf,10
55000 - Public Health and Welfare,FY05,55110,Local Health Center,307,Communication,"1,556.91",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,309,Contracts With Government Agencies,"22,540.21",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,312,Contracts With Private Agencies,"4,669.38",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,335,Maintenance And Repair Services-Buildir,"5,286.25",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,347,Pest Control,220,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,348,Postal Charges,26,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,399,Other Contracted Services,340.63,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,410,Custodial Supplies,66.5,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,413,Drugs And Medical Supplies,170.86,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,435,Office Supplies,129.63,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,452,Utilities,"4,947.40",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,454,Water And Sewer,0,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,499,Other Supplies And Materials,379.76,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55110,Local Health Center,,,,"40,333.53",FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,133,Paraprofessionals,"144,259.15",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,169,Part-Time Personnel,"15,807.00",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,187,Overtime Pay,"27,265.34",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,196,In-Service Training,976.33,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,307,Communication,"1,968.90",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,317,Data Processing Services,"1,504.00",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,320,Dues And Memberships,710,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,335,Maintenance And Repair Services-Buildir,273.09,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,336,Maintenance And Repair Services-Equipr,"16,159.02",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,338,Maintenance And Repair Services-Vehicle,"2,962.91",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,340,Medical And Dental Services,50,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,347,Pest Control,240,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,348,Postal Charges,101.24,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,355,Travel,418.4,,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,413,Drugs And Medical Supplies,"3,545.14",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,415,Electricity,"1,860.38",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,425,Gasoline,"2,952.79",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,434,Natural Gas,"2,147.39",,FY05.pdf,11
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,435,Office Supplies,668.34,,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,451,Uniforms,"1,136.11",,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,454,Water And Sewer,958.78,,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,499,Other Supplies And Materials,434.04,,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,509,Refunds,"2,327.28",,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55130,Ambulance/Emergency Medical Services,,,,"228,725.63",FY05.pdf,12
55000 - Public Health and Welfare,FY05,55170,Alcohol And Drug Programs,368,Drug Treatment,"4,018.50",,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55170,Alcohol And Drug Programs,,,,"4,018.50",FY05.pdf,12
55000 - Public Health and Welfare,FY05,55310,Regional Mental Health Center,310,Contracts With Other Public Agencies,"2,000.00",,FY05.pdf,12
55000 - Public Health and Welfare,FY05,55310,Regional Mental Health Center,,,,"2,000.00",FY05.pdf,12
"56000 - Social, Cultural, and Recreational Services",FY05,56300,Senior Citizens Assistance,316,Contributions,"5,880.00",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56300,Senior Citizens Assistance,,,,"5,880.00",FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,103,Assistant(s),"12,980.10",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,105,Supervisor/Director,"19,532.04",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,169,Part-Time Personnel,"6,901.98",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,196,In-Service Training,257.34,,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,307,Communication,"1,909.50",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,317,Data Processing Services,"3,267.20",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,335,Maintenance And Repair Services-Buildir,"34,503.03",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,347,Pest Control,240,,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,348,Postal Charges,500,,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,349,"Printing, Stationery And Forms",76.99,,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,415,Electricity,"2,913.06",,FY05.pdf,13
"56000 - Social, Cultural, and Recreational Services",FY05,56500,Libraries,432,Library Books/Media,"2,322.68",,FY05.pdf,13
