Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
51000 - General Government,FY09,51900,Other General Administration,415,Electricity,"15,434.49",,fund121FY09.pdf,1
51000 - General Government,FY09,51900,Other General Administration,510,Trustee's Commission,277.76,,fund121FY09.pdf,1
51000 - General Government,FY09,51900,Other General Administration,599,Other Charges,2.31,,fund121FY09.pdf,1
51000 - General Government,FY09,51900,Other General Administration,,,,"15,714.56",fund121FY09.pdf,1
51000 - General Government,FY09,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY09.pdf,1
51000 - General Government,FY09,51910,Preservation Of Records,599,Other Charges,0,,fund121FY09.pdf,1
51000 - General Government,FY09,51910,Preservation Of Records,,,,0,fund121FY09.pdf,1
,FY09,,Fund 121 Total,,,,"15,714.56",fund121FY09.pdf,1
51000 - General Government,FY10,51900,Other General Administration,415,Electricity,"17,480.57",,fund121FY10.pdf,1
51000 - General Government,FY10,51900,Other General Administration,510,Trustee's Commission,421.7,,fund121FY10.pdf,1
51000 - General Government,FY10,51900,Other General Administration,599,Other Charges,0,,fund121FY10.pdf,1
51000 - General Government,FY10,51900,Other General Administration,,,,"17,902.27",fund121FY10.pdf,1
51000 - General Government,FY10,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY10.pdf,1
51000 - General Government,FY10,51910,Preservation Of Records,,,,0,fund121FY10.pdf,1
,FY10,,Fund 121 Total,,,,"17,902.27",fund121FY10.pdf,1
51000 - General Government,FY11,51900,Other General Administration,415,Electricity,"17,693.94",,fund121FY11.pdf,1
51000 - General Government,FY11,51900,Other General Administration,510,Trustee's Commission,385.19,,fund121FY11.pdf,1
51000 - General Government,FY11,51900,Other General Administration,599,Other Charges,0,,fund121FY11.pdf,1
51000 - General Government,FY11,51900,Other General Administration,,,,"18,079.13",fund121FY11.pdf,1
51000 - General Government,FY11,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY11.pdf,1
51000 - General Government,FY11,51910,Preservation Of Records,,,,0,fund121FY11.pdf,1
,FY11,,Fund 121 Total,,,,"18,079.13",fund121FY11.pdf,1
51000 - General Government,FY12,51900,Other General Administration,415,Electricity,"17,818.23",,fund121FY12.pdf,1
51000 - General Government,FY12,51900,Other General Administration,510,Trustee's Commission,388.41,,fund121FY12.pdf,1
51000 - General Government,FY12,51900,Other General Administration,599,Other Charges,0,,fund121FY12.pdf,1
51000 - General Government,FY12,51900,Other General Administration,,,,"18,206.64",fund121FY12.pdf,1
51000 - General Government,FY12,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY12.pdf,1
51000 - General Government,FY12,51910,Preservation Of Records,,,,0,fund121FY12.pdf,1
,FY12,,Fund 121 Total,,,,"18,206.64",fund121FY12.pdf,1
51000 - General Government,FY13,51900,Other General Administration,415,Electricity,"18,136.30",,fund121FY13.pdf,1
51000 - General Government,FY13,51900,Other General Administration,510,Trustee's Commission,394.83,,fund121FY13.pdf,1
51000 - General Government,FY13,51900,Other General Administration,599,Other Charges,0,,fund121FY13.pdf,1
51000 - General Government,FY13,51900,Other General Administration,,,,"18,531.13",fund121FY13.pdf,1
,FY13,,Fund 121 Total,,,,"18,531.13",fund121FY13.pdf,1
51000 - General Government,FY14,51900,Other General Administration,415,Electricity,"19,069.76",,fund121FY14.pdf,1
51000 - General Government,FY14,51900,Other General Administration,510,Trustee's Commission,188.88,,fund121FY14.pdf,1
51000 - General Government,FY14,51900,Other General Administration,599,Other Charges,"1,485.00",,fund121FY14.pdf,1
51000 - General Government,FY14,51900,Other General Administration,,,,"20,743.64",fund121FY14.pdf,1
,FY14,,Fund 121 Total,,,,"20,743.64",fund121FY14.pdf,1
51000 - General Government,FY15,51900,Other General Administration,415,Electricity,"18,804.78",,fund121FY15.pdf,1
51000 - General Government,FY15,51900,Other General Administration,510,Trustee's Commission,221.67,,fund121FY15.pdf,1
51000 - General Government,FY15,51900,Other General Administration,599,Other Charges,0,,fund121FY15.pdf,1
51000 - General Government,FY15,51900,Other General Administration,,,,"19,026.45",fund121FY15.pdf,1
51000 - General Government,FY15,51910,Preservation Of Records,510,Trustee's Commission,5.77,,fund121FY15.pdf,1
51000 - General Government,FY15,51910,Preservation Of Records,,,,5.77,fund121FY15.pdf,1
,FY15,,Fund 121 Total,,,,"19,032.22",fund121FY15.pdf,1
51000 - General Government,FY16,51900,Other General Administration,415,Electricity,"19,876.60",,fund121FY16.pdf,1
51000 - General Government,FY16,51900,Other General Administration,510,Trustee's Commission,246.53,,fund121FY16.pdf,1
51000 - General Government,FY16,51900,Other General Administration,599,Other Charges,0,,fund121FY16.pdf,1
51000 - General Government,FY16,51900,Other General Administration,,,,"20,123.13",fund121FY16.pdf,1
,FY16,,Fund 121 Total,,,,"20,123.13",fund121FY16.pdf,1
51000 - General Government,FY17,51900,Other General Administration,415,Electricity,"18,525.92",,fund121FY17.pdf,1
51000 - General Government,FY17,51900,Other General Administration,510,Trustee's Commission,168.71,,fund121FY17.pdf,1
51000 - General Government,FY17,51900,Other General Administration,599,Other Charges,634.37,,fund121FY17.pdf,1
51000 - General Government,FY17,51900,Other General Administration,,,,"19,329.00",fund121FY17.pdf,1
51000 - General Government,FY17,51910,Preservation Of Records,510,Trustee's Commission,52.3,,fund121FY17.pdf,1
51000 - General Government,FY17,51910,Preservation Of Records,,,,52.3,fund121FY17.pdf,1
,FY17,,Fund 121 Total,,,,"19,381.30",fund121FY17.pdf,1
51000 - General Government,FY18,51100,County Commission,509,Refunds,"1,639.89",,fund121FY18.pdf,1
51000 - General Government,FY18,51100,County Commission,,,,"1,639.89",fund121FY18.pdf,1
51000 - General Government,FY18,51900,Other General Administration,415,Electricity,"18,261.04",,fund121FY18.pdf,1
51000 - General Government,FY18,51900,Other General Administration,510,Trustee's Commission,236.71,,fund121FY18.pdf,1
51000 - General Government,FY18,51900,Other General Administration,599,Other Charges,45.16,,fund121FY18.pdf,1
51000 - General Government,FY18,51900,Other General Administration,,,,"18,542.91",fund121FY18.pdf,1
51000 - General Government,FY18,51910,Preservation Of Records,510,Trustee's Commission,16.4,,fund121FY18.pdf,1
51000 - General Government,FY18,51910,Preservation Of Records,,,,16.4,fund121FY18.pdf,1
,FY18,,Fund 121 Total,,,,"20,199.20",fund121FY18.pdf,1
51000 - General Government,FY19,51900,Other General Administration,415,Electricity,"18,268.60",,fund121FY19.pdf,1
51000 - General Government,FY19,51900,Other General Administration,510,Trustee's Commission,238.35,,fund121FY19.pdf,1
51000 - General Government,FY19,51900,Other General Administration,599,Other Charges,0,,fund121FY19.pdf,1
51000 - General Government,FY19,51900,Other General Administration,,,,"18,506.95",fund121FY19.pdf,1
51000 - General Government,FY19,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY19.pdf,1
51000 - General Government,FY19,51910,Preservation Of Records,,,,0,fund121FY19.pdf,1
,FY19,,Fund 121 Total,,,,"18,506.95",fund121FY19.pdf,1
51000 - General Government,FY20,51900,Other General Administration,415,Electricity,654.36,,fund121FY20.pdf,1
51000 - General Government,FY20,51900,Other General Administration,510,Trustee's Commission,257.1,,fund121FY20.pdf,1
51000 - General Government,FY20,51900,Other General Administration,599,Other Charges,0,,fund121FY20.pdf,1
51000 - General Government,FY20,51900,Other General Administration,,,,911.46,fund121FY20.pdf,1
,FY20,,Fund 121 Total,,,,911.46,fund121FY20.pdf,1
51000 - General Government,FY21,51900,Other General Administration,415,Electricity,"4,863.34",,fund121FY21.pdf,1
51000 - General Government,FY21,51900,Other General Administration,510,Trustee's Commission,240.24,,fund121FY21.pdf,1
51000 - General Government,FY21,51900,Other General Administration,599,Other Charges,0,,fund121FY21.pdf,1
51000 - General Government,FY21,51900,Other General Administration,,,,"5,103.58",fund121FY21.pdf,1
,FY21,,Fund 121 Total,,,,"5,103.58",fund121FY21.pdf,1
51000 - General Government,FY22,51900,Other General Administration,415,Electricity,"3,885.80",,fund121FY22.pdf,1
51000 - General Government,FY22,51900,Other General Administration,510,Trustee's Commission,291.59,,fund121FY22.pdf,1
51000 - General Government,FY22,51900,Other General Administration,599,Other Charges,0,,fund121FY22.pdf,1
51000 - General Government,FY22,51900,Other General Administration,,,,"4,177.39",fund121FY22.pdf,1
,FY22,,Fund 121 Total,,,,"4,177.39",fund121FY22.pdf,1
51000 - General Government,FY23,51900,Other General Administration,415,Electricity,"9,847.65",,fund121FY23.pdf,1
51000 - General Government,FY23,51900,Other General Administration,510,Trustee's Commission,213.56,,fund121FY23.pdf,1
51000 - General Government,FY23,51900,Other General Administration,,,,"10,061.21",fund121FY23.pdf,1
,FY23,,Fund 121 Total,,,,"10,061.21",fund121FY23.pdf,1
51000 - General Government,FY24,51900,Other General Administration,415,Electricity,"10,590.20",,fund121FY24.pdf,1
51000 - General Government,FY24,51900,Other General Administration,510,Trustee's Commission,231.74,,fund121FY24.pdf,1
51000 - General Government,FY24,51900,Other General Administration,,,,"10,821.94",fund121FY24.pdf,1
,FY24,,Fund 121 Total,,,,"10,821.94",fund121FY24.pdf,1
51000 - General Government,FY25,51900,Other General Administration,336,Maint & Repair Services-Equipment,751,,fund121FY25.pdf,1
51000 - General Government,FY25,51900,Other General Administration,415,Electricity,"10,565.77",,fund121FY25.pdf,1
51000 - General Government,FY25,51900,Other General Administration,510,Trustee's Commission,112.31,,fund121FY25.pdf,1
51000 - General Government,FY25,51900,Other General Administration,,,,"11,429.08",fund121FY25.pdf,1
,FY25,,Fund 121 Total,,,,"11,429.08",fund121FY25.pdf,1
